name, batch, dl_accu, dl_f1, dl_time_elapsed, dl_accu_train 
pendigits, 1, 0.97732, 0.89861, 0.28, 0.98055
pendigits, 2, 0.97910, 0.90229, 0.28, 0.97979
pendigits, 3, 0.97866, 0.89520, 0.28, 0.97998
pendigits, 4, 0.98088, 0.91485, 0.28, 0.97903
pendigits, 5, 0.97510, 0.88430, 0.27, 0.98151
pendigits, 6, 0.97554, 0.88798, 0.29, 0.98132
pendigits, 7, 0.98266, 0.91236, 0.28, 0.97827
pendigits, 8, 0.97821, 0.89727, 0.30, 0.98017
pendigits, 9, 0.97377, 0.87202, 0.29, 0.98208
pendigits, 10, 0.97554, 0.89194, 0.28, 0.98132
pendigits, 11, 0.97554, 0.89758, 0.29, 0.98132
pendigits, 12, 0.97821, 0.90631, 0.28, 0.98017
pendigits, 13, 0.97643, 0.88651, 0.28, 0.98093
pendigits, 14, 0.97910, 0.90543, 0.28, 0.97979
pendigits, 15, 0.97910, 0.90619, 0.28, 0.97979
pendigits, 16, 0.98044, 0.91235, 0.28, 0.97922
pendigits, 17, 0.97955, 0.90873, 0.28, 0.97960
pendigits, 18, 0.97910, 0.90229, 0.28, 0.97979
pendigits, 19, 0.97377, 0.88081, 0.28, 0.98208
pendigits, 20, 0.97866, 0.90588, 0.28, 0.97998
letter, 1, 0.96917, 0.41640, 0.83, 0.97043
letter, 2, 0.96933, 0.40645, 0.82, 0.97036
letter, 3, 0.96783, 0.39117, 0.82, 0.97100
letter, 4, 0.97250, 0.46945, 0.83, 0.96900
letter, 5, 0.97050, 0.43450, 0.85, 0.96986
letter, 6, 0.97050, 0.47478, 0.85, 0.96986
letter, 7, 0.96950, 0.39203, 0.84, 0.97029
letter, 8, 0.96717, 0.40122, 0.85, 0.97129
letter, 9, 0.96967, 0.45833, 0.83, 0.97021
letter, 10, 0.97100, 0.43506, 0.84, 0.96964
letter, 11, 0.96750, 0.40000, 0.83, 0.97114
letter, 12, 0.96817, 0.40867, 0.85, 0.97086
letter, 13, 0.96750, 0.39252, 0.86, 0.97114
letter, 14, 0.97000, 0.41558, 0.83, 0.97007
letter, 15, 0.96833, 0.41718, 0.83, 0.97079
letter, 16, 0.96983, 0.45970, 0.84, 0.97014
letter, 17, 0.97000, 0.41558, 0.82, 0.97007
letter, 18, 0.96917, 0.42368, 0.84, 0.97043
letter, 19, 0.97083, 0.50425, 0.85, 0.96971
letter, 20, 0.96717, 0.43553, 0.83, 0.97129
yeast, 1, 0.69955, 0.21176, 0.03, 0.70713
yeast, 2, 0.70852, 0.20732, 0.03, 0.69942
yeast, 3, 0.69058, 0.19767, 0.03, 0.71195
yeast, 4, 0.67937, 0.20994, 0.03, 0.71676
yeast, 5, 0.70179, 0.28108, 0.03, 0.69750
yeast, 6, 0.69955, 0.28723, 0.03, 0.70617
yeast, 7, 0.70852, 0.21687, 0.03, 0.70039
yeast, 8, 0.67040, 0.13018, 0.03, 0.71965
yeast, 9, 0.69731, 0.17178, 0.03, 0.70809
yeast, 10, 0.68610, 0.23077, 0.03, 0.71387
yeast, 11, 0.69283, 0.17964, 0.03, 0.71098
yeast, 12, 0.69058, 0.19767, 0.04, 0.70231
yeast, 13, 0.68834, 0.24865, 0.03, 0.71098
yeast, 14, 0.66592, 0.31336, 0.03, 0.72062
yeast, 15, 0.69058, 0.13750, 0.04, 0.71098
yeast, 16, 0.68386, 0.15569, 0.03, 0.71387
yeast, 17, 0.69283, 0.11613, 0.03, 0.71002
yeast, 18, 0.66368, 0.27885, 0.03, 0.71484
yeast, 19, 0.71973, 0.27746, 0.04, 0.69942
yeast, 20, 0.67040, 0.16949, 0.03, 0.71580
splice-1, 1, 0.82341, 0.81925, 0.23, 0.84819
splice-1, 2, 0.83699, 0.85115, 0.22, 0.84192
splice-1, 3, 0.82863, 0.81778, 0.23, 0.84550
splice-1, 4, 0.82132, 0.80412, 0.23, 0.84639
splice-1, 5, 0.82654, 0.82035, 0.23, 0.84684
splice-1, 6, 0.83490, 0.81755, 0.23, 0.84013
splice-1, 7, 0.81923, 0.79429, 0.23, 0.84236
splice-1, 8, 0.82236, 0.80460, 0.23, 0.84863
splice-1, 9, 0.82863, 0.81321, 0.23, 0.84550
splice-1, 10, 0.83595, 0.85557, 0.24, 0.84236
splice-1, 11, 0.84222, 0.86134, 0.23, 0.83968
splice-1, 12, 0.82863, 0.84815, 0.23, 0.84550
splice-1, 13, 0.82654, 0.84398, 0.22, 0.84639
splice-1, 14, 0.82132, 0.81021, 0.23, 0.84908
splice-1, 15, 0.83281, 0.84586, 0.22, 0.84371
splice-1, 16, 0.82236, 0.80856, 0.22, 0.84819
splice-1, 17, 0.82236, 0.80505, 0.23, 0.84550
splice-1, 18, 0.81087, 0.79171, 0.23, 0.85311
splice-1, 19, 0.82654, 0.82073, 0.23, 0.84684
splice-1, 20, 0.81923, 0.80408, 0.23, 0.84953
mushroom, 1, 0.96760, 0.96977, 0.05, 0.96957
mushroom, 2, 0.97047, 0.97176, 0.05, 0.96834
mushroom, 3, 0.96390, 0.96621, 0.05, 0.97116
mushroom, 4, 0.96883, 0.97001, 0.05, 0.96905
mushroom, 5, 0.97088, 0.97204, 0.05, 0.96817
mushroom, 6, 0.97252, 0.97416, 0.05, 0.96746
mushroom, 7, 0.97170, 0.97223, 0.05, 0.96782
mushroom, 8, 0.97170, 0.97339, 0.05, 0.96782
mushroom, 9, 0.96842, 0.97003, 0.05, 0.96922
mushroom, 10, 0.96678, 0.96774, 0.05, 0.96993
mushroom, 11, 0.95611, 0.95796, 0.05, 0.97450
mushroom, 12, 0.97047, 0.97122, 0.05, 0.96834
mushroom, 13, 0.97293, 0.97341, 0.05, 0.96729
mushroom, 14, 0.97211, 0.97316, 0.05, 0.96764
mushroom, 15, 0.97170, 0.97256, 0.05, 0.96782
mushroom, 16, 0.97006, 0.97204, 0.05, 0.96852
