name, batch, bs_accu, bs_f1, bs_auc, bs_cpu, bs_nleaves, bs_depth, bs_accu_train 
anneal, 1, 0.82787, 0, 0.52876, 2.8, 2, 1, 0.84155
anneal, 2, 0.78689, 0, 0.74058, 2.6, 2, 1, 0.84683
anneal, 3, 0.76639, 0, 0.66244, 3.9, 2, 1, 0.86268
anneal, 4, 0.79918, 0, 0.5415, 3.1, 2, 1, 0.87676
anneal, 5, 0.81148, 0, 0.68445, 2.4, 2, 1, 0.84683
anneal, 6, 0.77459, 0, 0.67542, 3.8, 2, 1, 0.84331
anneal, 7, 0.78689, 0, 0.65164, 3.4, 2, 1, 0.85387
anneal, 8, 0.76639, 0, 0.53166, 5.5, 2, 1, 0.87676
anneal, 9, 0.77459, 0, 0.65945, 2.6, 2, 1, 0.85915
anneal, 10, 0.7582, 0, 0.61136, 4.5, 2, 1, 0.88204
anneal, 11, 0.7541, 0, 0.55036, 4.1, 2, 1, 0.88204
anneal, 12, 0.80328, 0, 0.64955, 3.7, 2, 1, 0.83451
anneal, 13, 0.75, 0, 0.69524, 3.2, 2, 1, 0.84331
anneal, 14, 0.77869, 0, 0.69883, 4, 2, 1, 0.85387
anneal, 15, 0.75, 0, 0.64974, 4.7, 2, 1, 0.88028
anneal, 16, 0.77459, 0, 0.48725, 3.4, 2, 1, 0.87148
anneal, 17, 0.76639, 0, 0.71433, 3.9, 2, 1, 0.87324
anneal, 18, 0.75, 0, 0.59939, 3.7, 2, 1, 0.8662
anneal, 19, 0.80328, 0, 0.68569, 2.7, 2, 1, 0.84683
anneal, 20, 0.77869, 0, 0.604, 3.6, 2, 1, 0.87676
audiology, 1, 0.86154, 0.74286, 0.89941, 0.78, 2, 1, 0.97351
audiology, 2, 0.83077, 0.75556, 0.91544, 0.61, 2, 1, 0.97351
audiology, 3, 0.84615, 0.7619, 0.91964, 0.8, 2, 1, 0.97351
audiology, 4, 0.84615, 0.79167, 0.90389, 0.9, 2, 1, 0.97351
audiology, 5, 0.87692, 0.81818, 0.88771, 0.81, 2, 1, 0.95364
audiology, 6, 0.92308, 0.87805, 0.97754, 1, 2, 1, 0.97351
audiology, 7, 0.84615, 0.7619, 0.875, 0.76, 2, 1, 0.94702
audiology, 8, 0.86154, 0.80851, 0.86613, 0.75, 2, 1, 0.98013
audiology, 9, 0.81538, 0.68421, 0.88609, 0.81, 2, 1, 0.97351
audiology, 10, 0.87692, 0.75, 0.94025, 0.75, 2, 1, 0.97351
audiology, 11, 0.90769, 0.85714, 0.96454, 0.84, 2, 1, 0.96026
audiology, 12, 0.90769, 0.85714, 0.96454, 0.97, 2, 1, 0.96689
audiology, 13, 0.87692, 0.8, 0.91582, 0.78, 2, 1, 0.96026
audiology, 14, 0.8, 0.68293, 0.85014, 0.6, 2, 1, 0.98013
audiology, 15, 0.81538, 0.76923, 0.88111, 0.71, 2, 1, 0.97351
audiology, 16, 0.81538, 0.76, 0.83753, 0.44, 2, 1, 0.99338
audiology, 17, 0.89231, 0.82051, 0.95536, 0.86, 2, 1, 0.97351
audiology, 18, 0.81538, 0.7, 0.92717, 0.72, 2, 1, 0.97351
audiology, 19, 0.86154, 0.78049, 0.91327, 0.77, 2, 1, 0.97351
audiology, 20, 0.84615, 0.78261, 0.90662, 0.7, 2, 1, 0.97351
australian-credit, 1, 0.86224, 0.85405, 0.90211, 5.1, 2, 1, 0.91028
australian-credit, 2, 0.85204, 0.85714, 0.85848, 4.7, 2, 1, 0.91904
australian-credit, 3, 0.86224, 0.86154, 0.86174, 5, 2, 1, 0.91247
australian-credit, 4, 0.86735, 0.87619, 0.88837, 5.2, 2, 1, 0.91685
australian-credit, 5, 0.89286, 0.89655, 0.89297, 4.8, 2, 1, 0.87746
australian-credit, 6, 0.85204, 0.84153, 0.85649, 4.5, 2, 1, 0.91466
australian-credit, 7, 0.86224, 0.867, 0.86195, 4.2, 2, 1, 0.92341
australian-credit, 8, 0.87245, 0.87179, 0.86069, 4.6, 2, 1, 0.91028
australian-credit, 9, 0.87245, 0.8731, 0.90486, 4.6, 2, 1, 0.89934
australian-credit, 10, 0.90816, 0.90816, 0.90417, 4.9, 2, 1, 0.9081
australian-credit, 11, 0.85714, 0.86667, 0.87109, 4.8, 2, 1, 0.9081
australian-credit, 12, 0.83163, 0.8254, 0.85414, 4, 2, 1, 0.92341
australian-credit, 13, 0.86735, 0.87255, 0.85935, 5.3, 2, 1, 0.90372
australian-credit, 14, 0.87245, 0.86339, 0.86183, 5.8, 2, 1, 0.89934
australian-credit, 15, 0.88265, 0.88557, 0.8513, 5.2, 2, 1, 0.90153
australian-credit, 16, 0.86224, 0.85714, 0.85002, 4.3, 2, 1, 0.91028
australian-credit, 17, 0.86224, 0.86567, 0.88232, 4.9, 2, 1, 0.9256
australian-credit, 18, 0.84694, 0.84848, 0.86457, 4.7, 2, 1, 0.92123
australian-credit, 19, 0.88265, 0.891, 0.8972, 5.4, 2, 1, 0.91247
australian-credit, 20, 0.85204, 0.8599, 0.88693, 4.6, 2, 1, 0.89716
breast-wisconsin, 1, 0.90732, 0.92116, 0.9167, 1.1, 2, 1, 0.98954
breast-wisconsin, 2, 0.8878, 0.90688, 0.91615, 1.3, 2, 1, 0.98326
breast-wisconsin, 3, 0.9561, 0.96266, 0.96688, 1.8, 2, 1, 0.9728
breast-wisconsin, 4, 0.90732, 0.9283, 0.90669, 1.3, 2, 1, 0.98954
breast-wisconsin, 5, 0.94634, 0.95817, 0.95238, 1.8, 2, 1, 0.98326
breast-wisconsin, 6, 0.92195, 0.93443, 0.93801, 1.5, 2, 1, 0.97699
breast-wisconsin, 7, 0.94634, 0.95753, 0.94064, 1.8, 2, 1, 0.9749
breast-wisconsin, 8, 0.89268, 0.912, 0.91886, 1.6, 2, 1, 0.98536
breast-wisconsin, 9, 0.94146, 0.95385, 0.95417, 1.6, 2, 1, 0.97908
breast-wisconsin, 10, 0.89756, 0.91498, 0.89818, 1.8, 2, 1, 0.98536
breast-wisconsin, 11, 0.93171, 0.94262, 0.93289, 1.6, 2, 1, 0.97699
breast-wisconsin, 12, 0.90732, 0.91703, 0.9397, 1.5, 2, 1, 0.98326
breast-wisconsin, 13, 0.86341, 0.88525, 0.86104, 1.4, 2, 1, 0.98536
breast-wisconsin, 14, 0.96098, 0.96947, 0.9774, 2.5, 2, 1, 0.9749
breast-wisconsin, 15, 0.94634, 0.96, 0.93732, 1.9, 2, 1, 0.97699
breast-wisconsin, 16, 0.93659, 0.94561, 0.9283, 1.9, 2, 1, 0.9749
breast-wisconsin, 17, 0.88293, 0.90698, 0.89834, 1.5, 2, 1, 0.97908
breast-wisconsin, 18, 0.94634, 0.95911, 0.9615, 1.8, 2, 1, 0.97699
breast-wisconsin, 19, 0.89756, 0.92308, 0.89747, 1.4, 2, 1, 0.98326
breast-wisconsin, 20, 0.90732, 0.92884, 0.92018, 1.6, 2, 1, 0.97699
diabetes, 1, 0.73593, 0.80259, 0.70942, 7.6, 2, 1, 0.86592
diabetes, 2, 0.70563, 0.74436, 0.71819, 7.4, 2, 1, 0.85475
diabetes, 3, 0.71429, 0.77852, 0.69031, 7.6, 2, 1, 0.84544
diabetes, 4, 0.66234, 0.69048, 0.70619, 7.9, 2, 1, 0.85661
diabetes, 5, 0.68398, 0.71595, 0.72408, 7.5, 2, 1, 0.85661
diabetes, 6, 0.77056, 0.83175, 0.74047, 7.9, 2, 1, 0.83426
diabetes, 7, 0.74459, 0.8, 0.69299, 7, 2, 1, 0.87337
diabetes, 8, 0.75325, 0.82243, 0.7035, 7.5, 2, 1, 0.85661
diabetes, 9, 0.77489, 0.8375, 0.75116, 8, 2, 1, 0.84916
diabetes, 10, 0.64069, 0.66932, 0.68546, 7.1, 2, 1, 0.87523
diabetes, 11, 0.72727, 0.79344, 0.68389, 7.1, 2, 1, 0.86592
diabetes, 12, 0.74026, 0.78571, 0.732, 8, 2, 1, 0.85102
diabetes, 13, 0.75325, 0.81188, 0.71044, 7.5, 2, 1, 0.8622
diabetes, 14, 0.77922, 0.82712, 0.74214, 8.1, 2, 1, 0.85475
diabetes, 15, 0.73593, 0.77978, 0.70457, 7.4, 2, 1, 0.85661
diabetes, 16, 0.68398, 0.75254, 0.65596, 8.2, 2, 1, 0.86778
diabetes, 17, 0.76623, 0.82237, 0.72195, 8.3, 2, 1, 0.8622
diabetes, 18, 0.68398, 0.7474, 0.66472, 7.2, 2, 1, 0.87151
diabetes, 19, 0.7316, 0.79195, 0.73149, 7.1, 2, 1, 0.85847
diabetes, 20, 0.70996, 0.78176, 0.67214, 7.6, 2, 1, 0.86592
german-credit, 1, 0.67, 0, 0.50766, 9.1, 2, 1, 0.83286
german-credit, 2, 0.67667, 0, 0.59504, 8.2, 2, 1, 0.84143
german-credit, 3, 0.7, 0, 0.52434, 5.5, 2, 1, 0.78714
german-credit, 4, 0.69333, 0, 0.56793, 9.6, 2, 1, 0.85571
german-credit, 5, 0.72, 0, 0.45211, 7.8, 2, 1, 0.83286
german-credit, 6, 0.71667, 0, 0.54112, 9.2, 2, 1, 0.85
german-credit, 7, 0.71667, 0, 0.54528, 11, 2, 1, 0.83571
german-credit, 8, 0.72333, 0, 0.5762, 8.9, 2, 1, 0.81857
german-credit, 9, 0.72, 0, 0.5792, 8.5, 2, 1, 0.82571
german-credit, 10, 0.66333, 0, 0.58749, 9.6, 2, 1, 0.83714
german-credit, 11, 0.66333, 0, 0.51575, 9.8, 2, 1, 0.84
german-credit, 12, 0.71667, 0, 0.50681, 9.8, 2, 1, 0.84286
german-credit, 13, 0.68667, 0, 0.50718, 7.3, 2, 1, 0.78857
german-credit, 14, 0.73333, 0, 0.5904, 10, 2, 1, 0.83571
german-credit, 15, 0.71, 0, 0.59058, 8.9, 2, 1, 0.85286
german-credit, 16, 0.71667, 0, 0.59108, 9.3, 2, 1, 0.85429
german-credit, 17, 0.68, 0, 0.55438, 9.6, 2, 1, 0.84286
german-credit, 18, 0.68333, 0, 0.54013, 9.9, 2, 1, 0.84857
german-credit, 19, 0.69333, 0, 0.65986, 9.1, 2, 1, 0.85286
german-credit, 20, 0.7, 0, 0.54243, 10, 2, 1, 0.83857
heart-cleveland, 1, 0.75281, 0.78, 0.78564, 2.4, 2, 1, 0.89372
heart-cleveland, 2, 0.73034, 0.75, 0.74367, 1.9, 2, 1, 0.91304
heart-cleveland, 3, 0.77528, 0.80769, 0.73316, 2.3, 2, 1, 0.91787
heart-cleveland, 4, 0.74157, 0.76768, 0.71846, 2.2, 2, 1, 0.91787
heart-cleveland, 5, 0.65169, 0.66667, 0.67983, 2, 2, 1, 0.92271
heart-cleveland, 6, 0.69663, 0.7033, 0.64888, 2.2, 2, 1, 0.91787
heart-cleveland, 7, 0.76404, 0.8, 0.71735, 2.3, 2, 1, 0.91304
heart-cleveland, 8, 0.79775, 0.8125, 0.74694, 2.2, 2, 1, 0.90821
heart-cleveland, 9, 0.67416, 0.70707, 0.66996, 2, 2, 1, 0.93237
heart-cleveland, 10, 0.76404, 0.76923, 0.75228, 2.2, 2, 1, 0.93237
