name, batch, osdt_accu, osdt_accu_train, osdt_time_elapsed, best_is_cart, mem_MiB 
pendigits, 1, 0.97732, 0.98055, 66.30, 0, 1042.851562
pendigits, 2, 0.97910, 0.97979, 66.50, 0, 1043.316406
pendigits, 3, 0.97866, 0.97998, 61.99, 0, 1030.738281
pendigits, 4, 0.98088, 0.97903, 62.05, 0, 1030.093750
pendigits, 5, 0.97510, 0.98151, 60.80, 0, 1023.835938
pendigits, 6, 0.97554, 0.98132, 61.22, 0, 1025.031250
pendigits, 7, 0.98266, 0.97827, 63.73, 0, 1050.011719
pendigits, 8, 0.97821, 0.98017, 62.38, 0, 1037.347656
pendigits, 9, 0.97377, 0.98208, 61.41, 0, 1030.386719
pendigits, 10, 0.97554, 0.98132, 61.65, 0, 1030.152344
pendigits, 11, 0.97554, 0.98132, 60.57, 0, 1024.730469
pendigits, 12, 0.97821, 0.98017, 62.42, 0, 1037.687500
pendigits, 13, 0.97643, 0.98093, 63.89, 0, 1049.781250
pendigits, 14, 0.97910, 0.97979, 64.56, 0, 1050.085938
pendigits, 15, 0.97910, 0.97979, 62.34, 0, 1037.121094
pendigits, 16, 0.98044, 0.97922, 62.95, 0, 1043.273438
pendigits, 17, 0.97955, 0.97960, 60.66, 0, 1024.863281
pendigits, 18, 0.97910, 0.97979, 60.58, 0, 1023.648438
pendigits, 19, 0.97377, 0.98208, 60.71, 0, 1024.593750
pendigits, 20, 0.97866, 0.97998, 62.54, 0, 1037.632812
letter, 1, 0.96917, 0.97043, 91.33, 0, 1193.734375
letter, 2, 0.96933, 0.97036, 89.64, 0, 1174.796875
letter, 3, 0.96783, 0.97100, 89.00, 0, 1175.921875
letter, 4, 0.97250, 0.96900, 90.17, 0, 1183.667969
letter, 5, 0.97050, 0.96986, 88.33, 0, 1169.523438
letter, 6, 0.95817, 0.95986, 91.67, 1, 1183.523438
letter, 7, 0.96950, 0.97029, 90.53, 0, 1191.398438
letter, 8, 0.96717, 0.97129, 87.66, 0, 1154.574219
letter, 9, 0.96967, 0.97021, 91.09, 0, 1176.035156
letter, 10, 0.97100, 0.96964, 91.31, 0, 1187.769531
letter, 11, 0.96750, 0.97114, 89.80, 0, 1169.019531
letter, 12, 0.96817, 0.97086, 93.06, 0, 1196.109375
letter, 13, 0.96750, 0.97114, 89.04, 0, 1169.343750
letter, 14, 0.97000, 0.97007, 90.45, 0, 1183.074219
letter, 15, 0.96833, 0.97079, 88.00, 0, 1168.316406
letter, 16, 0.96983, 0.97014, 91.07, 0, 1189.640625
letter, 17, 0.97000, 0.97007, 91.28, 0, 1189.640625
letter, 18, 0.96917, 0.97043, 88.55, 0, 1173.964844
letter, 19, 0.95650, 0.96057, 89.24, 1, 1170.949219
letter, 20, 0.96717, 0.97129, 87.94, 0, 1161.144531
yeast, 1, 0.70404, 0.70135, 5.33, 0, 451.363281
yeast, 2, 0.71525, 0.69653, 5.30, 0, 450.843750
