name, batch, bs_accu, bs_f1, bs_auc, bs_cpu, bs_nleaves, bs_depth, bs_accu_train 
anneal, 1, 0.82787, 0, 0.70273, 5.9, 2, 1, 0.91373
anneal, 2, 0.78689, 0, 0.74539, 4.9, 2, 1, 0.91197
anneal, 3, 0.76639, 0, 0.71311, 4.4, 2, 1, 0.92958
anneal, 4, 0.79918, 0, 0.69178, 4.7, 2, 1, 0.91901
anneal, 5, 0.81148, 0, 0.72848, 4.1, 2, 1, 0.9331
anneal, 6, 0.77459, 0, 0.68831, 4.3, 2, 1, 0.92782
anneal, 7, 0.78689, 0, 0.68019, 4.6, 2, 1, 0.91901
anneal, 8, 0.76639, 0, 0.73703, 4.2, 2, 1, 0.92782
anneal, 9, 0.77459, 0, 0.70996, 4.5, 2, 1, 0.92254
anneal, 10, 0.7582, 0, 0.70508, 4.6, 2, 1, 0.92782
anneal, 11, 0.7541, 0, 0.69864, 4.4, 2, 1, 0.92254
anneal, 12, 0.80328, 0, 0.66327, 4.2, 2, 1, 0.90845
anneal, 13, 0.75, 0, 0.7524, 4.3, 2, 1, 0.91021
anneal, 14, 0.77869, 0, 0.76569, 4.3, 2, 1, 0.91725
anneal, 15, 0.75, 0, 0.64839, 3.9, 2, 1, 0.91901
anneal, 16, 0.77459, 0, 0.64675, 3.9, 2, 1, 0.93662
anneal, 17, 0.76639, 0, 0.71958, 4.8, 2, 1, 0.91725
anneal, 18, 0.75, 0, 0.69032, 4.4, 2, 1, 0.91901
anneal, 19, 0.80328, 0, 0.68622, 3.8, 2, 1, 0.91901
anneal, 20, 0.77869, 0, 0.773, 4.4, 2, 1, 0.91373
audiology, 1, 0.96923, 0.92308, 0.95562, 0.54, 2, 1, 0.99338
audiology, 2, 0.93846, 0.88889, 0.93382, 0.7, 2, 1, 0.98013
audiology, 3, 0.93846, 0.88889, 0.95026, 0.71, 2, 1, 0.98675
audiology, 4, 0.87692, 0.80952, 0.90275, 0.58, 2, 1, 0.98675
audiology, 5, 0.93846, 0.9, 0.95745, 0.73, 2, 1, 0.99338
audiology, 6, 0.92308, 0.87179, 0.96217, 0.7, 2, 1, 0.98013
audiology, 7, 0.96923, 0.9375, 0.94133, 0.73, 2, 1, 0.98013
audiology, 8, 0.90769, 0.85714, 0.89588, 0.61, 2, 1, 0.98013
audiology, 9, 0.92308, 0.82759, 0.93787, 0.72, 2, 1, 0.98013
audiology, 10, 0.93846, 0.84615, 0.94025, 0.72, 2, 1, 0.98675
audiology, 11, 0.93846, 0.89474, 0.97636, 0.7, 2, 1, 0.98013
audiology, 12, 0.93846, 0.88889, 0.94681, 0.55, 2, 1, 0.98675
audiology, 13, 0.92308, 0.84848, 0.91454, 0.54, 2, 1, 0.99338
audiology, 14, 0.92308, 0.83871, 0.89496, 0.63, 2, 1, 0.98013
audiology, 15, 0.95385, 0.92683, 0.98, 0.61, 2, 1, 0.98675
audiology, 16, 0.90769, 0.85, 0.91762, 0.41, 2, 1, 0.99338
audiology, 17, 0.96923, 0.9375, 0.97449, 0.52, 2, 1, 0.99338
audiology, 18, 0.89231, 0.77419, 0.93978, 0.53, 2, 1, 0.98013
audiology, 19, 0.90769, 0.83333, 0.90689, 0.6, 2, 1, 0.97351
audiology, 20, 0.90769, 0.84211, 0.93026, 0.53, 2, 1, 0.98675
australian-credit, 1, 0.85204, 0.84656, 0.89514, 4, 2, 1, 0.94311
australian-credit, 2, 0.85204, 0.85714, 0.85848, 3.6, 2, 1, 0.94967
australian-credit, 3, 0.85714, 0.85859, 0.85273, 3.7, 2, 1, 0.94967
australian-credit, 4, 0.85714, 0.86916, 0.87854, 3.5, 2, 1, 0.95405
australian-credit, 5, 0.88776, 0.89423, 0.88569, 3.9, 2, 1, 0.96061
australian-credit, 6, 0.84694, 0.83871, 0.85003, 3.8, 2, 1, 0.94092
australian-credit, 7, 0.85714, 0.86275, 0.85482, 3.5, 2, 1, 0.95405
australian-credit, 8, 0.84694, 0.85149, 0.83239, 4, 2, 1, 0.9453
australian-credit, 9, 0.84184, 0.84729, 0.86664, 3.8, 2, 1, 0.95186
australian-credit, 10, 0.90306, 0.9064, 0.89707, 3.9, 2, 1, 0.9453
australian-credit, 11, 0.84184, 0.85446, 0.85254, 3.8, 2, 1, 0.9453
australian-credit, 12, 0.80102, 0.8, 0.81634, 3.8, 2, 1, 0.95186
australian-credit, 13, 0.85714, 0.86667, 0.84155, 4.6, 2, 1, 0.93873
australian-credit, 14, 0.86735, 0.8587, 0.85662, 4, 2, 1, 0.94748
australian-credit, 15, 0.87245, 0.87805, 0.84343, 3.9, 2, 1, 0.94311
australian-credit, 16, 0.85204, 0.85128, 0.83438, 3.8, 2, 1, 0.9453
australian-credit, 17, 0.84694, 0.85437, 0.86481, 3.6, 2, 1, 0.94748
australian-credit, 18, 0.82143, 0.83092, 0.83768, 3.3, 2, 1, 0.96499
australian-credit, 19, 0.88265, 0.89302, 0.88768, 4, 2, 1, 0.94311
australian-credit, 20, 0.83673, 0.84762, 0.87131, 3.9, 2, 1, 0.94311
breast-wisconsin, 1, 0.91707, 0.93061, 0.9217, 1, 2, 1, 0.99163
breast-wisconsin, 2, 0.91707, 0.93117, 0.9423, 0.99, 2, 1, 0.98745
breast-wisconsin, 3, 0.94146, 0.94872, 0.94309, 1.4, 2, 1, 0.97699
breast-wisconsin, 4, 0.93659, 0.95203, 0.92795, 1.1, 2, 1, 0.98954
breast-wisconsin, 5, 0.93171, 0.94615, 0.92993, 1.3, 2, 1, 0.98326
breast-wisconsin, 6, 0.90732, 0.91983, 0.95037, 1.2, 2, 1, 0.98536
breast-wisconsin, 7, 0.94634, 0.95785, 0.9534, 1.3, 2, 1, 0.98745
breast-wisconsin, 8, 0.91707, 0.93385, 0.92638, 1.5, 2, 1, 0.98954
breast-wisconsin, 9, 0.95122, 0.96154, 0.96605, 1.6, 2, 1, 0.98326
breast-wisconsin, 10, 0.92683, 0.94118, 0.9084, 1.2, 2, 1, 0.98954
breast-wisconsin, 11, 0.93171, 0.944, 0.90898, 1.1, 2, 1, 0.98745
breast-wisconsin, 12, 0.93171, 0.93913, 0.95889, 1.2, 2, 1, 0.98326
breast-wisconsin, 13, 0.94146, 0.95385, 0.9533, 1.1, 2, 1, 0.98954
breast-wisconsin, 14, 0.96098, 0.9697, 0.95764, 1.5, 2, 1, 0.98745
