name, batch, osdt_accu, osdt_accu_train, osdt_time_elapsed, best_is_cart, mem_MiB 
pendigits, 1, 0.98399, 0.99009, 301.47, 0, 4788.625000
pendigits, 2, 0.98711, 0.98875, 301.26, 0, 6676.843750
pendigits, 3, 0.98755, 0.98856, 301.34, 0, 6672.234375
pendigits, 4, 0.98666, 0.98894, 301.34, 0, 7161.886719
pendigits, 5, 0.98266, 0.98856, 301.43, 0, 6695.175781
pendigits, 6, 0.98577, 0.98932, 301.37, 0, 6675.160156
pendigits, 7, 0.99333, 0.99256, 301.31, 0, 6642.296875
pendigits, 8, 0.98444, 0.98990, 301.64, 0, 7121.609375
pendigits, 9, 0.98711, 0.98875, 301.41, 0, 6650.945312
pendigits, 10, 0.98577, 0.98932, 301.42, 0, 6693.414062
pendigits, 11, 0.98755, 0.98856, 301.41, 0, 7184.117188
pendigits, 12, 0.98888, 0.99371, 301.41, 0, 6828.136719
pendigits, 13, 0.99155, 0.99333, 302.93, 0, 6598.738281
pendigits, 14, 0.98977, 0.99333, 301.39, 0, 6646.640625
pendigits, 15, 0.98888, 0.98799, 301.40, 0, 6647.453125
pendigits, 16, 0.98933, 0.98780, 303.05, 0, 6636.902344
pendigits, 17, 0.98444, 0.98990, 301.71, 0, 7196.726562
pendigits, 18, 0.98622, 0.98913, 301.46, 0, 6787.757812
pendigits, 19, 0.99066, 0.99371, 301.47, 0, 6672.949219
pendigits, 20, 0.98711, 0.98875, 301.43, 0, 7152.707031
letter, 1, 0.95900, 0.95950, 300.99, 1, 5329.531250
letter, 2, 0.96033, 0.95893, 300.80, 1, 4135.414062
letter, 3, 0.95833, 0.95979, 300.79, 1, 4145.277344
letter, 4, 0.96100, 0.95864, 301.02, 1, 4685.914062
letter, 5, 0.96000, 0.95907, 300.97, 1, 4642.140625
letter, 6, 0.95817, 0.95986, 301.01, 1, 4691.804688
letter, 7, 0.96050, 0.95886, 301.01, 1, 4713.914062
letter, 8, 0.95750, 0.96014, 301.00, 1, 4658.035156
letter, 9, 0.95817, 0.95986, 301.01, 1, 4667.984375
letter, 10, 0.96167, 0.95836, 301.01, 1, 4702.332031
letter, 11, 0.95733, 0.96021, 300.78, 1, 4142.191406
letter, 12, 0.95883, 0.95957, 301.00, 1, 4702.164062
letter, 13, 0.95850, 0.95971, 300.97, 1, 4648.281250
letter, 14, 0.96050, 0.95886, 300.99, 1, 4683.757812
letter, 15, 0.95817, 0.95986, 300.99, 1, 4654.343750
letter, 16, 0.95817, 0.95986, 300.99, 1, 4689.250000
letter, 17, 0.96033, 0.95893, 301.00, 1, 4697.988281
letter, 18, 0.95850, 0.95971, 300.99, 1, 4672.238281
letter, 19, 0.95650, 0.96057, 301.01, 1, 4676.910156
letter, 20, 0.95600, 0.96079, 300.77, 1, 4136.238281
yeast, 1, 0.71076, 0.72254, 300.53, 0, 4095.214844
yeast, 2, 0.73094, 0.72158, 300.54, 0, 4095.125000
yeast, 3, 0.69058, 0.73892, 300.53, 0, 4094.734375
yeast, 4, 0.71076, 0.72832, 300.54, 0, 4094.871094
yeast, 5, 0.69955, 0.71002, 300.53, 0, 4098.074219
yeast, 6, 0.71525, 0.72254, 300.54, 0, 4095.320312
yeast, 7, 0.71973, 0.72640, 300.54, 0, 4097.519531
yeast, 8, 0.67937, 0.74085, 300.63, 0, 4097.039062
yeast, 9, 0.69283, 0.73121, 300.54, 0, 4094.777344
yeast, 10, 0.67937, 0.73603, 300.54, 0, 4097.035156
yeast, 11, 0.69058, 0.73410, 300.54, 0, 4095.894531
yeast, 12, 0.72197, 0.72254, 300.53, 0, 4091.675781
yeast, 13, 0.70179, 0.72832, 300.54, 0, 4093.808594
yeast, 14, 0.66816, 0.74181, 300.53, 0, 4095.410156
yeast, 15, 0.70179, 0.72736, 300.54, 0, 4095.460938
yeast, 16, 0.69731, 0.73410, 300.54, 0, 4085.554688
yeast, 17, 0.71076, 0.72447, 300.53, 0, 4089.421875
yeast, 18, 0.69283, 0.73218, 300.54, 0, 4097.753906
yeast, 19, 0.73094, 0.72062, 300.53, 0, 4093.003906
yeast, 20, 0.69507, 0.73121, 300.54, 0, 4096.949219
splice-1, 1, 0.90282, 0.91894, 300.30, 1, 3504.636719
splice-1, 2, 0.91745, 0.90954, 300.30, 1, 3506.660156
splice-1, 3, 0.90805, 0.91670, 300.29, 1, 3506.304688
splice-1, 4, 0.91432, 0.91088, 300.29, 1, 3509.925781
splice-1, 5, 0.90073, 0.91715, 300.29, 1, 3506.687500
splice-1, 6, 0.92372, 0.90685, 300.29, 1, 3508.761719
splice-1, 7, 0.90805, 0.91357, 300.28, 1, 3504.621094
splice-1, 8, 0.91118, 0.91267, 300.29, 1, 3506.917969
splice-1, 9, 0.90178, 0.91626, 300.29, 1, 3509.804688
splice-1, 10, 0.91745, 0.90999, 300.29, 1, 3508.773438
splice-1, 11, 0.91850, 0.90954, 300.29, 1, 3503.828125
splice-1, 12, 0.92059, 0.91133, 300.29, 1, 3505.257812
splice-1, 13, 0.90909, 0.91357, 300.28, 1, 3507.710938
splice-1, 14, 0.89342, 0.91984, 300.29, 1, 3504.250000
splice-1, 15, 0.92059, 0.90864, 300.29, 1, 3508.273438
splice-1, 16, 0.91118, 0.91536, 300.29, 1, 3506.554688
splice-1, 17, 0.90909, 0.91357, 300.28, 1, 3505.933594
splice-1, 18, 0.89342, 0.91984, 300.28, 1, 3509.371094
splice-1, 19, 0.89760, 0.91805, 300.29, 1, 3509.035156
splice-1, 20, 0.88610, 0.89610, 300.29, 0, 3507.046875
mushroom, 1, 0.99508, 0.99367, 186.50, 0, 4070.921875
mushroom, 2, 0.99508, 0.99367, 195.37, 0, 4120.492188
mushroom, 3, 0.99262, 0.99472, 203.16, 0, 4164.910156
mushroom, 4, 0.99385, 0.99420, 203.94, 0, 4167.890625
mushroom, 5, 0.99385, 0.99420, 202.50, 0, 4160.281250
mushroom, 6, 0.99426, 0.99402, 206.31, 0, 4153.781250
mushroom, 7, 0.99467, 0.99384, 211.46, 0, 4172.796875
mushroom, 8, 0.99508, 0.99367, 236.97, 0, 4350.019531
mushroom, 9, 0.99426, 0.99402, 199.75, 0, 4146.632812
mushroom, 10, 0.99262, 0.99472, 193.66, 0, 4094.125000
mushroom, 11, 0.99057, 0.99560, 108.71, 0, 3576.761719
mushroom, 12, 0.99262, 0.99472, 230.54, 0, 4334.371094
mushroom, 13, 0.99508, 0.99367, 239.91, 0, 4383.378906
mushroom, 14, 0.99426, 0.99402, 203.64, 0, 4164.175781
mushroom, 15, 0.99344, 0.99437, 231.15, 0, 4338.089844
mushroom, 16, 0.99467, 0.99384, 202.31, 0, 4164.289062
mushroom, 17, 0.99508, 0.99367, 207.96, 0, 4157.351562
mushroom, 18, 0.99549, 0.99349, 202.21, 0, 4162.519531
mushroom, 19, 0.99180, 0.99508, 119.05, 0, 3604.132812
mushroom, 20, 0.99221, 0.99490, 211.31, 0, 4182.375000
zoo-1, 1, 1.00000, 1.00000, 0.31, 1, 3268.644531
zoo-1, 2, 1.00000, 1.00000, 0.30, 1, 3267.144531
zoo-1, 3, 1.00000, 1.00000, 0.29, 1, 3266.144531
zoo-1, 4, 1.00000, 1.00000, 0.30, 1, 3265.644531
zoo-1, 5, 1.00000, 1.00000, 0.31, 1, 3265.644531
zoo-1, 6, 1.00000, 1.00000, 0.29, 1, 3265.644531
zoo-1, 7, 1.00000, 1.00000, 0.29, 1, 3265.144531
zoo-1, 8, 1.00000, 1.00000, 0.29, 1, 3265.144531
zoo-1, 9, 1.00000, 1.00000, 0.29, 1, 3265.144531
zoo-1, 10, 1.00000, 1.00000, 0.30, 1, 3264.894531
zoo-1, 11, 1.00000, 1.00000, 0.30, 1, 3264.894531
zoo-1, 12, 1.00000, 1.00000, 0.29, 1, 3264.644531
zoo-1, 13, 1.00000, 1.00000, 0.29, 1, 3264.644531
zoo-1, 14, 1.00000, 1.00000, 0.30, 1, 3264.644531
zoo-1, 15, 1.00000, 1.00000, 0.30, 1, 3264.644531
zoo-1, 16, 1.00000, 1.00000, 0.30, 1, 3264.644531
zoo-1, 17, 1.00000, 1.00000, 0.29, 1, 3264.644531
zoo-1, 18, 0.90323, 1.00000, 0.31, 1, 3264.644531
zoo-1, 19, 1.00000, 1.00000, 0.29, 1, 3264.644531
zoo-1, 20, 1.00000, 1.00000, 0.29, 1, 3264.644531
diabetes, 1, 0.76190, 0.77095, 300.44, 0, 3908.878906
diabetes, 2, 0.77489, 0.77654, 300.44, 0, 3908.917969
diabetes, 3, 0.76623, 0.77095, 300.43, 0, 3907.488281
diabetes, 4, 0.75758, 0.77654, 300.43, 0, 3904.210938
diabetes, 5, 0.71429, 0.78026, 300.43, 0, 3910.093750
diabetes, 6, 0.81385, 0.75978, 300.43, 0, 3907.054688
diabetes, 7, 0.73593, 0.78771, 300.43, 0, 3905.050781
diabetes, 8, 0.71861, 0.78585, 300.48, 0, 4033.667969
diabetes, 9, 0.77489, 0.76350, 300.43, 0, 3910.050781
diabetes, 10, 0.74892, 0.78585, 300.43, 0, 3911.937500
diabetes, 11, 0.74026, 0.78026, 300.43, 0, 3905.914062
diabetes, 12, 0.73593, 0.78399, 300.44, 1, 3909.347656
diabetes, 13, 0.77922, 0.77467, 300.43, 0, 3907.128906
diabetes, 14, 0.77489, 0.77467, 300.43, 0, 3906.031250
diabetes, 15, 0.74459, 0.78771, 300.47, 0, 4032.738281
diabetes, 16, 0.72727, 0.79143, 300.44, 0, 3911.804688
diabetes, 17, 0.77922, 0.76536, 300.44, 0, 3910.152344
diabetes, 18, 0.74459, 0.79516, 300.44, 1, 3906.441406
diabetes, 19, 0.77056, 0.76350, 300.44, 0, 3910.398438
diabetes, 20, 0.73160, 0.78957, 300.44, 0, 3910.496094
segment, 1, 0.98268, 0.99443, 4.31, 1, 3227.308594
segment, 2, 0.99711, 0.99753, 4.99, 1, 3224.289062
segment, 3, 0.99567, 0.99876, 4.70, 1, 3221.296875
segment, 4, 0.99856, 0.99753, 5.02, 1, 3220.296875
segment, 5, 0.99423, 0.99938, 4.41, 1, 3195.546875
segment, 6, 0.98701, 0.99258, 4.87, 0, 3192.800781
segment, 7, 0.99567, 0.99876, 4.73, 1, 3191.050781
segment, 8, 0.99856, 0.99567, 5.21, 1, 3180.300781
segment, 9, 0.99567, 0.99876, 4.55, 1, 3175.300781
segment, 10, 0.99711, 0.99814, 4.74, 1, 3174.054688
segment, 11, 0.99856, 0.99753, 4.73, 1, 3172.804688
segment, 12, 0.99423, 0.99876, 4.75, 1, 3171.054688
segment, 13, 0.99856, 0.99753, 4.85, 1, 3169.304688
segment, 14, 0.99423, 0.99876, 4.71, 1, 3169.054688
segment, 15, 0.99278, 0.99814, 5.01, 1, 3168.054688
segment, 16, 0.99856, 0.99753, 4.95, 1, 3162.304688
segment, 17, 0.99711, 0.99753, 4.83, 1, 3162.468750
segment, 18, 0.99278, 0.99876, 4.88, 1, 3161.929688
segment, 19, 0.99711, 0.99753, 4.98, 1, 3162.332031
segment, 20, 0.99856, 0.99753, 4.82, 1, 3162.308594
vote, 1, 0.95420, 0.97039, 300.65, 0, 6549.250000
vote, 2, 0.98473, 0.94408, 300.50, 0, 4508.917969
vote, 3, 0.96947, 0.96382, 300.50, 0, 4548.753906
vote, 4, 0.97710, 0.95395, 300.64, 0, 5202.980469
vote, 5, 0.96947, 0.96382, 300.65, 0, 6545.644531
vote, 6, 0.94656, 0.96053, 300.56, 0, 4855.910156
vote, 7, 0.92366, 0.97368, 300.65, 1, 6528.269531
vote, 8, 0.94656, 0.96711, 300.58, 0, 4973.738281
vote, 9, 0.88550, 0.97697, 300.53, 0, 4719.738281
vote, 10, 0.94656, 0.97039, 300.53, 1, 4726.085938
vote, 11, 0.95420, 0.97039, 300.55, 0, 4803.886719
vote, 12, 0.96183, 0.95395, 300.52, 0, 4609.710938
vote, 13, 0.95420, 0.95724, 300.59, 0, 5022.015625
vote, 14, 0.93130, 0.96711, 300.50, 0, 4569.839844
vote, 15, 0.93893, 0.97039, 300.57, 0, 4891.753906
vote, 16, 0.94656, 0.97368, 300.63, 0, 5217.246094
vote, 17, 0.93893, 0.96382, 300.65, 0, 6550.820312
vote, 18, 0.93893, 0.96382, 300.64, 0, 5221.945312
vote, 19, 0.94656, 0.97039, 300.65, 1, 6532.117188
vote, 20, 0.94656, 0.97039, 300.55, 0, 4831.250000
kr-vs-kp, 1, 0.89990, 0.90612, 300.62, 1, 4667.578125
kr-vs-kp, 2, 0.90511, 0.90389, 300.53, 1, 4292.910156
kr-vs-kp, 3, 0.89364, 0.90881, 300.62, 0, 4623.519531
kr-vs-kp, 4, 0.89572, 0.90791, 300.50, 1, 4176.292969
kr-vs-kp, 5, 0.91241, 0.90076, 300.62, 0, 4664.617188
kr-vs-kp, 6, 0.91137, 0.90121, 300.57, 1, 4207.808594
kr-vs-kp, 7, 0.89677, 0.90747, 300.56, 1, 4396.722656
kr-vs-kp, 8, 0.90719, 0.90300, 300.52, 0, 4211.347656
kr-vs-kp, 9, 0.90407, 0.90434, 300.62, 0, 4553.378906
